DATE_ID,DATE_ACTUAL,YEAR,MONTH,DAY,DAY_NAME,MONTH_NAME,WEEK_OF_YEAR
20160110,2016-01-10,2016,1,10,Sun,Jan,1
20160105,2016-01-05,2016,1,5,Tue,Jan,1
20160112,2016-01-12,2016,1,12,Tue,Jan,2
20170212,2017-02-12,2017,2,12,Sun,Feb,6
20180509,2018-05-09,2018,5,9,Wed,May,19
20170805,2017-08-05,2017,8,5,Sat,Aug,31
20161112,2016-11-12,2016,11,12,Sat,Nov,45
20170803,2017-08-03,2017,8,3,Thu,Aug,31
20150606,2015-06-06,2015,6,6,Sat,Jun,23
20180212,2018-02-12,2018,2,12,Mon,Feb,7
20160509,2016-05-09,2016,5,9,Mon,May,19
20170408,2017-04-08,2017,4,8,Sat,Apr,14
20180203,2018-02-03,2018,2,3,Sat,Feb,5
20170802,2017-08-02,2017,8,2,Wed,Aug,31
20160511,2016-05-11,2016,5,11,Wed,May,19
20181009,2018-10-09,2018,10,9,Tue,Oct,41
20150406,2015-04-06,2015,4,6,Mon,Apr,15
20160210,2016-02-10,2016,2,10,Wed,Feb,6
20170701,2017-07-01,2017,7,1,Sat,Jul,26
20171009,2017-10-09,2017,10,9,Mon,Oct,41
20160811,2016-08-11,2016,8,11,Thu,Aug,32
20181210,2018-12-10,2018,12,10,Mon,Dec,50
20160603,2016-06-03,2016,6,3,Fri,Jun,22
20160608,2016-06-08,2016,6,8,Wed,Jun,23
20170605,2017-06-05,2017,6,5,Mon,Jun,23
20160207,2016-02-07,2016,2,7,Sun,Feb,5
20160412,2016-04-12,2016,4,12,Tue,Apr,15
20160204,2016-02-04,2016,2,4,Thu,Feb,5
20150109,2015-01-09,2015,1,9,Fri,Jan,2
20160108,2016-01-08,2016,1,8,Fri,Jan,1
20150402,2015-04-02,2015,4,2,Thu,Apr,14
20150112,2015-01-12,2015,1,12,Mon,Jan,3
20160503,2016-05-03,2016,5,3,Tue,May,18
20180602,2018-06-02,2018,6,2,Sat,Jun,22
20180106,2018-01-06,2018,1,6,Sat,Jan,1
20180104,2018-01-04,2018,1,4,Thu,Jan,1
20150509,2015-05-09,2015,5,9,Sat,May,19
20160507,2016-05-07,2016,5,7,Sat,May,18
20150410,2015-04-10,2015,4,10,Fri,Apr,15
20160311,2016-03-11,2016,3,11,Fri,Mar,10
20170906,2017-09-06,2017,9,6,Wed,Sep,36
20170206,2017-02-06,2017,2,6,Mon,Feb,6
20170401,2017-04-01,2017,4,1,Sat,Apr,13
20160808,2016-08-08,2016,8,8,Mon,Aug,32
20180610,2018-06-10,2018,6,10,Sun,Jun,23
20170301,2017-03-01,2017,3,1,Wed,Mar,9
